"date_site","date","sites","temp_95","wb_temp_95","heat_index_95","rel_hum_95","temp_max","wb_temp_max","heat_index_max","rel_hum_max","temp_mn","wb_temp_mn","heat_index_mn","rel_hum_mn","temp_05","wb_temp_05","heat_index_05","rel_hum_05","habitat","location","date_orig","month","day","year","ext_95","ext_max","ext_95_day","ext_max_day","aci","ndsi","aci_nt","ndsi_nt","aci_day","ndsi_day","sc_count","amgo_n","amro_n","blja_n","cach_n","cawr_n","noca_n","rewo_n","tuti_n","amgo_asr","amro_asr","blja_asr","cach_asr","cawr_asr","noca_asr","rewo_asr","tuti_asr","amgo_morn","amro_morn","blja_morn","cach_morn","cawr_morn","noca_morn","rewo_morn","tuti_morn","amgo_mid","amro_mid","blja_mid","cach_mid","cawr_mid","noca_mid","rewo_mid","tuti_mid","amgo_eve","amro_eve","blja_eve","cach_eve","cawr_eve","noca_eve","rewo_eve","tuti_eve","amgo_n_1","amro_n_1","blja_n_1","cach_n_1","cawr_n_1","noca_n_1","rewo_n_1","tuti_n_1","amgo_asr_1","amro_asr_1","blja_asr_1","cach_asr_1","cawr_asr_1","noca_asr_1","rewo_asr_1","tuti_asr_1","amgo_morn_1","amro_morn_1","blja_morn_1","cach_morn_1","cawr_morn_1","noca_morn_1","rewo_morn_1","tuti_morn_1","amgo_mid_1","amro_mid_1","blja_mid_1","cach_mid_1","cawr_mid_1","noca_mid_1","rewo_mid_1","tuti_mid_1","amgo_eve_1","amro_eve_1","blja_eve_1","cach_eve_1","cawr_eve_1","noca_eve_1","rewo_eve_1","tuti_eve_1","vpd_kPa","ext_fact","ext_day_fact","ext_vpd","ext_day_vpd","ext_wbt","ext_day_wbt","loc_hab"
"2024-05-15_NEON018_N18",2024-05-15,"NEON018_N18",18.3888888888889,16.8388888888889,18.45,100,18.5555555555556,17.2222222222222,18.7222222222222,100,16.8691358024691,16.1203703703704,17.229012345679,93.2211111111111,15.2222222222222,15.1666666666667,15.8888888888889,84.445,"open","exurban","2024-05-15",5,15,2024,0,0,0,0,189.180712272961,0.414208306193096,212.010720763473,0.293433355167196,177.765708027705,0.474595781706047,36,1,0,0,1,18,37,0,2,1,0,0,1,16,25,0,2,0,0,0,1,1,1,0,0,0,0,0,0,5,25,0,2,1,0,0,0,10,0,0,0,7,1,19,1,21,84,2,10,7,1,19,1,17,79,2,4,1,1,0,0,8,16,2,8,6,0,19,1,10,56,0,0,0,0,0,0,3,12,0,2,0.130756720344694,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","exurban open"
"2024-05-15_NEON019_N19",2024-05-15,"NEON019_N19",17.0861111111111,17.1111111111111,17.7777777777778,100,17.3333333333333,17.2777777777778,18.1111111111111,100,16.2111111111111,16.2043209876543,16.9160493827161,100,15.1666666666667,15.1666666666667,15.7777777777778,100,"forest","exurban","2024-05-15",5,15,2024,0,0,0,0,161.617191119793,0.101861725562287,162.818930505098,0.098191967478705,161.016321427141,0.103696604604078,36,0,4,2,0,26,54,7,6,0,4,2,0,6,44,7,6,0,0,1,0,20,20,0,0,0,4,1,0,6,30,3,6,0,0,0,0,0,4,4,0,0,8,0,0,49,48,13,6,0,7,0,0,46,47,13,6,0,2,0,0,11,12,1,4,0,3,0,0,19,28,4,2,0,2,0,0,19,8,8,0,0,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","exurban forest"
"2024-05-15_Open_SMO9",2024-05-15,"Open_SMO9",19.0611111111111,18.1722222222222,19.4611111111111,100,19.6111111111111,18.5,20,100,16.8901234567901,16.4925925925926,17.4246913580247,96.3577777777778,15,15,15.7222222222222,88.99,"open","urban","2024-05-15",5,15,2024,0,0,0,0,154.952568495178,0.115877265639974,155.96883729631,0.106315307860593,154.444434094613,0.120658244529665,36,0,178,4,0,5,62,2,21,0,73,4,0,2,60,2,18,0,0,0,0,0,12,0,15,0,55,2,0,0,24,2,6,0,18,2,0,2,25,0,0,2,116,14,0,39,28,3,22,2,46,14,0,2,27,2,22,1,5,2,0,28,16,2,4,0,17,0,0,0,12,1,11,1,24,12,0,1,0,0,7,0.070347736301869,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","urban open"
"2024-05-15_Open1_SLO1",2024-05-15,"Open1_SLO1",19.1666666666667,17.7583333333333,19.2777777777778,100,19.9444444444444,18.1111111111111,20.2777777777778,100,17.1047297297297,16.4894894894895,17.5611861861862,94.4216216216216,15.1666666666667,15.1305555555556,15.7777777777778,83.4,"open","urban","2024-05-15",5,15,2024,0,0,0,0,173.608196618146,0.31153229726592,193.73980175991,0.247049091768803,163.542394047263,0.343773900014479,36,7,162,0,0,75,8,1,0,7,90,0,0,40,7,1,0,1,5,0,0,34,3,0,0,4,40,0,0,31,2,0,0,2,49,0,0,4,3,1,0,50,258,0,0,79,11,1,1,48,88,0,0,60,11,1,0,2,23,0,0,42,6,0,0,46,30,0,0,19,4,1,0,2,39,0,0,3,1,0,0,0.109219049865259,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","urban open"
"2024-05-15_Overlook_SMO6",2024-05-15,"Overlook_SMO6",18.45,17.5611111111111,18.825,100,19.2222222222222,18,19.6111111111111,100,16.7864197530864,16.3734567901235,17.3098765432099,96.2233333333333,15.1666666666667,15.1666666666667,15.7777777777778,88.86,"open","urban","2024-05-15",5,15,2024,0,0,0,0,157.021263765072,0.0772841274173997,162.723987810692,0.0674652802112894,154.169901742262,0.0821935510204548,36,1,55,0,0,79,223,0,2,1,48,0,0,40,193,0,0,1,12,0,0,33,52,0,2,0,0,0,0,3,70,0,0,0,37,0,0,14,74,0,0,1,22,4,5,45,293,0,6,1,18,4,0,32,276,0,2,0,0,4,5,22,79,0,5,0,6,0,0,0,72,0,0,1,12,0,0,12,132,0,0,0.0724660380655437,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","urban open"
"2024-05-15_Pool_SMP11",2024-05-15,"Pool_SMP11",16.975,17,17.7222222222222,100,17,17,17.7777777777778,100,16.0104938271605,16.016049382716,16.7123456790123,100,15,15,15.7222222222222,100,"forest","urban","2024-05-15",5,15,2024,0,0,0,0,153.397599297186,0.0795816762963013,153.396381792131,0.0975685965817927,153.398208049713,0.0705882161535555,36,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,2,2,0,12,0,8,0,0,2,2,0,0,0,8,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","urban forest"
"2024-05-15_SweetHope_SH4",2024-05-15,"SweetHope_SH4",19.1111111111111,17.3888888888889,19.2777777777778,100,20.4444444444444,18.7777777777778,20.8888888888889,100,16.8104938271605,16.087037037037,17.1882716049383,93.4077777777778,14.7777777777778,14.7777777777778,15.3888888888889,83.4,"open","urban","2024-05-15",5,15,2024,0,0,0,0,155.837736070263,-0.127191341064695,158.466431236539,-0.0844080344024713,154.523388487125,-0.148582994395807,36,0,34,3,0,0,59,0,0,0,7,3,0,0,56,0,0,0,1,3,0,0,38,0,0,0,2,0,0,0,15,0,0,0,4,0,0,0,4,0,0,1,33,0,0,1,30,1,1,0,1,0,0,1,30,1,1,0,1,0,0,1,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,1,1,0.126683872360375,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","urban open"
"2024-05-16_Back_LGB1",2024-05-16,"Back_LGB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"open","urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urban open"
"2024-05-16_Classroom_SMC7",2024-05-16,"Classroom_SMC7",23.1972222222222,17.7777777777778,23,99.675,23.6111111111111,18.1111111111111,23.3888888888889,100,20.7432098765432,16.8172839506173,20.7882716049383,69.4677777777778,14.4277777777778,14.3166666666667,14.9777777777778,57.5,"forest","urban","2024-05-16",5,16,2024,0,0,0,0,151.306452958163,0.0972891506217534,151.731536139293,0.118982623769672,151.093911367598,0.0864424140477941,36,0,51,19,0,54,158,0,6,0,45,19,0,47,151,0,6,0,7,0,0,8,35,0,3,0,25,8,0,8,71,0,3,0,16,11,0,32,48,0,0,0,136,0,2,73,78,0,4,0,121,0,2,73,77,0,4,0,18,0,1,19,21,0,2,0,71,0,0,28,49,0,0,0,33,0,1,26,8,0,2,0.750271673745251,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","urban forest"
"2024-05-16_Forest2_SLF2",2024-05-16,"Forest2_SLF2",23.8944444444444,18.1111111111111,23.45,100,24.0555555555556,18.5,23.7222222222222,100,21.0358024691358,17.183950617284,21.1098765432099,70.2977777777778,14.7416666666667,14.7166666666667,15.3777777777778,54.735,"forest","urban","2024-05-16",5,16,2024,0,0,0,0,163.012641561066,0.214203567984813,162.411566918168,0.0730776062617534,163.313178882515,0.284766548846342,36,4,6,0,8,113,105,6,19,4,3,0,8,111,78,6,11,1,2,0,5,64,45,4,18,3,0,0,3,32,18,1,1,0,3,0,0,15,21,1,0,7,18,0,0,58,211,0,27,7,17,0,0,52,172,0,27,2,4,0,0,19,66,0,11,5,9,0,0,21,91,0,13,0,5,0,0,16,37,0,3,0.743129784361915,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","urban forest"
