filt_h.1$common_name,n
Eastern Screech-Owl,19187
Black-capped Chickadee,10432
Northern Cardinal,9996
Purple Finch,9837
Red-eyed Vireo,9190
Ovenbird,5241
Blue Jay,4732
Carolina Wren,4525
Great Horned Owl,4455
Scarlet Tanager,3170
Eastern Wood-Pewee,2637
Acadian Flycatcher,2502
Tufted Titmouse,2184
Barred Owl,1647
Hooded Warbler,1315
Yellow-throated Vireo,1117
Wood Thrush,1105
Snow Goose,792
House Sparrow,720
Canada Goose,716
Gray Catbird,611
Northern Flicker,568
Swainson's Warbler,553
Downy Woodpecker,533
American Goldfinch,532
Red-bellied Woodpecker,518
Worm-eating Warbler,468
Ruby-throated Hummingbird,445
American Robin,367
American Crow,363
Kentucky Warbler,357
Barn Owl,323
White-crowned Sparrow,295
American Woodcock,286
White-breasted Nuthatch,257
Hairy Woodpecker,254
Blue-gray Gnatcatcher,218
Red-shouldered Hawk,208
Common Yellowthroat,207
Cooper's Hawk,199
Carolina Chickadee,195
Pileated Woodpecker,167
Cedar Waxwing,158
Great Crested Flycatcher,155
Summer Tanager,141
Veery,134
Broad-winged Hawk,131
Philadelphia Vireo,130
Blue-headed Vireo,129
Yellow-billed Cuckoo,128
Osprey,126
House Finch,125
Red-tailed Hawk,120
Black-throated Green Warbler,115
Mississippi Kite,111
Blackpoll Warbler,107
Yellow-throated Warbler,102
Gray-cheeked Thrush,96
Louisiana Waterthrush,94
Common Grackle,93
Eastern Bluebird,75
Golden-crowned Kinglet,75
Least Flycatcher,74
Common Nighthawk,73
Belted Kingfisher,69
Mourning Dove,66
Hermit Thrush,61
American Pipit,60
Prothonotary Warbler,56
Black-throated Blue Warbler,55
Swainson's Thrush,54
Red-breasted Nuthatch,52
Orange-crowned Warbler,48
Northern Parula,44
Alder Flycatcher,41
Northern Waterthrush,41
Yellow-bellied Flycatcher,40
Dark-eyed Junco,39
Blackburnian Warbler,34
Song Sparrow,32
Palm Warbler,31
Swamp Sparrow,30
Chimney Swift,29
Chipping Sparrow,29
Eastern Towhee,27
White-throated Sparrow,27
Baltimore Oriole,26
Eastern Phoebe,25
Cape May Warbler,24
Fish Crow,24
Northern Rough-winged Swallow,21
Dunlin,19
Brown Creeper,16
Green-winged Teal,16
Bald Eagle,15
Brown-headed Cowbird,15
Whimbrel,15
Blue-winged Warbler,14
Brown Thrasher,14
Mallard,14
American Redstart,11
Black-billed Cuckoo,11
Chestnut-sided Warbler,11
Common Loon,11
Rose-breasted Grosbeak,11
Warbling Vireo,11
Willow Flycatcher,11
Black Vulture,10
Eastern Kingbird,10
Greater Yellowlegs,10
Indigo Bunting,10
Brown-headed Nuthatch,9
Cerulean Warbler,8
Nashville Warbler,8
Pine Warbler,7
American Bittern,6
Bay-breasted Warbler,6
Black-and-white Warbler,6
Red-headed Woodpecker,6
Tennessee Warbler,6
Black-bellied Plover,5
Great Blue Heron,5
Purple Martin,5
Rock Pigeon,5
Solitary Sandpiper,5
Winter Wren,5
Yellow-bellied Sapsucker,5
Yellow-rumped Warbler,5
American Kestrel,4
Eurasian Collared-Dove,4
Magnolia Warbler,4
Merlin,4
Prairie Warbler,4
Ruby-crowned Kinglet,4
Savannah Sparrow,4
Spotted Sandpiper,4
White-eyed Vireo,4
Wilson's Warbler,4
Black-crowned Night-Heron,3
Chuck-will's-widow,3
Cliff Swallow,3
Common Goldeneye,3
Common Raven,3
Grasshopper Sparrow,3
Great Egret,3
Killdeer,3
Lesser Yellowlegs,3
Lincoln's Sparrow,3
Rusty Blackbird,3
Sandhill Crane,3
Sharp-shinned Hawk,3
Tree Swallow,3
Wild Turkey,3
American Tree Sparrow,2
Blue Grosbeak,2
Canada Warbler,2
Common Merganser,2
Fox Sparrow,2
House Wren,2
Least Bittern,2
Northern Bobwhite,2
Peregrine Falcon,2
Pine Siskin,2
Snow Bunting,2
Sora,2
Vesper Sparrow,2
Wood Duck,2
American Coot,1
Clapper Rail,1
Common Gallinule,1
Common Tern,1
European Starling,1
Field Sparrow,1
Gadwall,1
Lapland Longspur,1
Northern Mockingbird,1
Red-winged Blackbird,1
Seaside Sparrow,1
Short-billed Dowitcher,1
Short-eared Owl,1
Wood Stork,1
