filt_h.1$common_name,n
Eastern Screech-Owl,18842
Wood Thrush,10502
Eastern Wood-Pewee,8826
Northern Cardinal,8127
Red-eyed Vireo,6883
Tufted Titmouse,5871
Swainson's Warbler,4195
Blue Jay,3652
Great Horned Owl,3488
Acadian Flycatcher,3368
Ovenbird,3254
Barred Owl,2810
Worm-eating Warbler,2706
Red-bellied Woodpecker,2640
Kentucky Warbler,2587
Carolina Wren,1945
Hooded Warbler,1883
Canada Goose,1815
Black-capped Chickadee,1161
American Woodcock,1142
Scarlet Tanager,1060
Prothonotary Warbler,975
White-breasted Nuthatch,929
Pileated Woodpecker,887
Eastern Towhee,856
Blue-gray Gnatcatcher,822
American Crow,769
Ruby-throated Hummingbird,715
Great Crested Flycatcher,686
Common Yellowthroat,679
Carolina Chickadee,610
Yellow-throated Vireo,604
Downy Woodpecker,603
Yellow-throated Warbler,596
White-throated Sparrow,577
Red-shouldered Hawk,501
Mississippi Kite,436
Mourning Dove,375
American Robin,362
Yellow-billed Cuckoo,346
White-crowned Sparrow,329
Summer Tanager,313
American Goldfinch,302
Hairy Woodpecker,290
Gray Catbird,287
Red-headed Woodpecker,259
American Bittern,250
Broad-winged Hawk,233
Black-throated Blue Warbler,227
Northern Flicker,219
White-eyed Vireo,210
Black-throated Green Warbler,205
Barn Owl,195
Louisiana Waterthrush,190
Cedar Waxwing,183
Cooper's Hawk,168
Golden-crowned Kinglet,162
Hermit Thrush,160
Common Grackle,150
Blue-headed Vireo,148
Brown-headed Cowbird,131
Yellow-bellied Flycatcher,114
Swamp Sparrow,113
Northern Parula,111
Osprey,111
American Pipit,98
Cerulean Warbler,97
Pine Warbler,97
Philadelphia Vireo,93
Belted Kingfisher,86
Brown Creeper,83
Eastern Bluebird,83
Red-breasted Nuthatch,80
Red-tailed Hawk,80
Purple Finch,78
Magnolia Warbler,64
Veery,62
Least Flycatcher,61
Ruby-crowned Kinglet,56
American Redstart,55
Common Nighthawk,55
Chestnut-sided Warbler,52
Gray-cheeked Thrush,51
Brown-headed Nuthatch,47
Blackpoll Warbler,46
Dunlin,41
Northern Waterthrush,40
Blue-winged Warbler,39
Blackburnian Warbler,35
Indigo Bunting,33
Baltimore Oriole,32
Fish Crow,32
House Finch,30
Black-and-white Warbler,29
Great Blue Heron,29
Eastern Phoebe,28
Cape May Warbler,27
Chipping Sparrow,25
Northern Bobwhite,25
Swainson's Thrush,25
Dark-eyed Junco,24
Mallard,22
Yellow-bellied Sapsucker,22
Red-winged Blackbird,21
Eastern Kingbird,18
Common Loon,17
Greater Yellowlegs,17
House Sparrow,16
Whimbrel,16
Wild Turkey,16
Canada Warbler,15
Prairie Warbler,15
Blue Grosbeak,14
Rose-breasted Grosbeak,13
Song Sparrow,13
Palm Warbler,12
Bay-breasted Warbler,11
Bald Eagle,10
Black-billed Cuckoo,10
Least Bittern,9
Rock Pigeon,9
Sharp-shinned Hawk,9
Willow Flycatcher,9
American Tree Sparrow,8
Black Vulture,8
Chimney Swift,8
Rusty Blackbird,8
Winter Wren,8
Alder Flycatcher,7
Chuck-will's-widow,7
Purple Martin,7
Eastern Whip-poor-will,6
Eurasian Collared-Dove,6
Merlin,6
Northern Rough-winged Swallow,6
Field Sparrow,5
Spotted Sandpiper,5
Black-crowned Night-Heron,4
Common Raven,4
Grasshopper Sparrow,4
Great Egret,4
Lesser Yellowlegs,4
Orange-crowned Warbler,4
Sandhill Crane,4
Virginia Rail,4
Warbling Vireo,4
Wilson's Warbler,4
Brown Thrasher,3
Green Heron,3
Sora,3
Yellow-rumped Warbler,3
Bank Swallow,2
Fox Sparrow,2
Green-winged Teal,2
Hooded Merganser,2
House Wren,2
Nashville Warbler,2
Pine Siskin,2
Wood Duck,2
American Kestrel,1
Barn Swallow,1
Black Scoter,1
Black-bellied Plover,1
Boat-tailed Grackle,1
Caspian Tern,1
Common Eider,1
Common Tern,1
Gadwall,1
Killdeer,1
Laughing Gull,1
Peregrine Falcon,1
Ruddy Turnstone,1
Seaside Sparrow,1
Turkey Vulture,1
White Ibis,1
Yellow Warbler,1
Yellow-breasted Chat,1
