filt_h.1$common_name,n
Indigo Bunting,18717
Great Horned Owl,16868
Eastern Screech-Owl,12803
Tufted Titmouse,3995
Northern Cardinal,3736
Carolina Wren,2778
American Crow,2250
Wood Thrush,2225
Yellow-throated Warbler,1826
Summer Tanager,1824
Blue Jay,1782
Red-bellied Woodpecker,1569
White-crowned Sparrow,1406
Barred Owl,1404
Scarlet Tanager,1306
Northern Bobwhite,1156
Swainson's Warbler,1114
Ruby-throated Hummingbird,1015
Great Crested Flycatcher,932
American Goldfinch,895
Eastern Bluebird,839
Eastern Wood-Pewee,809
Red-eyed Vireo,746
Kentucky Warbler,657
Carolina Chickadee,553
Prothonotary Warbler,539
Canada Goose,520
Brown Thrasher,457
White-throated Sparrow,440
Blue Grosbeak,421
Common Grackle,421
Wild Turkey,408
Osprey,397
Chipping Sparrow,383
Yellow-billed Cuckoo,366
Pileated Woodpecker,364
American Robin,360
Golden-crowned Kinglet,338
Fish Crow,321
Yellow-throated Vireo,319
Red-shouldered Hawk,313
Canada Warbler,305
Worm-eating Warbler,277
Mourning Dove,270
American Pipit,268
Hermit Thrush,238
Dark-eyed Junco,231
Chimney Swift,225
Red-headed Woodpecker,207
Ovenbird,194
Swamp Sparrow,194
White-breasted Nuthatch,193
Palm Warbler,179
Red-tailed Hawk,174
Downy Woodpecker,161
Belted Kingfisher,123
Louisiana Waterthrush,123
White Ibis,114
Hooded Warbler,113
American Tree Sparrow,104
Northern Waterthrush,100
Barn Owl,92
Northern Flicker,88
Common Yellowthroat,86
White-eyed Vireo,86
Purple Martin,78
Chestnut-sided Warbler,77
Bald Eagle,76
Blackburnian Warbler,72
Cedar Waxwing,72
Hairy Woodpecker,69
Philadelphia Vireo,66
Red-breasted Nuthatch,66
Black-and-white Warbler,64
Black-capped Chickadee,64
Field Sparrow,63
Acadian Flycatcher,61
Black-throated Green Warbler,61
Blue-gray Gnatcatcher,58
Gray Catbird,57
Great Blue Heron,57
Mississippi Kite,56
Whimbrel,53
Grasshopper Sparrow,49
Ruby-crowned Kinglet,48
Brown-headed Cowbird,46
House Finch,46
Broad-winged Hawk,45
Magnolia Warbler,45
Nashville Warbler,45
Northern Parula,44
Orange-crowned Warbler,43
Eastern Kingbird,42
Prairie Warbler,42
Savannah Sparrow,42
Pine Warbler,41
Wilson's Warbler,41
Black-bellied Plover,37
Blue-winged Warbler,37
Brown-headed Nuthatch,36
Seaside Sparrow,36
Winter Wren,36
Eastern Towhee,34
Horned Lark,33
Yellow-rumped Warbler,33
Baltimore Oriole,32
Tundra Swan,31
Cape May Warbler,29
Least Flycatcher,28
Chuck-will's-widow,27
Gray-cheeked Thrush,27
Great Egret,26
Yellow-bellied Flycatcher,26
Barn Swallow,25
Wood Duck,25
Black-billed Cuckoo,24
Blackpoll Warbler,24
Rose-breasted Grosbeak,24
Alder Flycatcher,23
Black-crowned Night-Heron,22
Northern Mockingbird,22
Common Loon,21
Veery,21
Bay-breasted Warbler,20
Yellow Warbler,20
Black Vulture,18
Least Bittern,18
Eastern Phoebe,17
Purple Finch,17
Tennessee Warbler,17
Great Cormorant,16
Orchard Oriole,16
American Woodcock,15
Brown Creeper,15
Dunlin,15
Vesper Sparrow,15
Common Eider,14
Snow Goose,13
Solitary Sandpiper,13
Greater Yellowlegs,12
Green-winged Teal,12
Sandhill Crane,12
Lesser Yellowlegs,11
Swainson's Thrush,11
Eastern Meadowlark,10
Mallard,10
Yellow-breasted Chat,10
American Redstart,9
Blue-headed Vireo,9
Brant,9
Sora,9
Warbling Vireo,9
Yellow-bellied Sapsucker,9
Black-throated Blue Warbler,8
Common Raven,8
Cooper's Hawk,8
Green Heron,8
House Wren,8
Killdeer,8
Semipalmated Plover,8
American Kestrel,7
Cerulean Warbler,7
Common Nighthawk,7
Rusty Blackbird,7
American Bittern,6
Clapper Rail,6
Willow Flycatcher,6
American Coot,5
Eastern Whip-poor-will,5
Hooded Merganser,5
Rock Pigeon,5
Common Tern,4
Double-crested Cormorant,4
Lapland Longspur,4
Northern Shoveler,4
Red-winged Blackbird,4
Spotted Sandpiper,4
Willet,4
Boat-tailed Grackle,3
Laughing Gull,3
Least Sandpiper,3
Lincoln's Sparrow,3
Northern Rough-winged Swallow,3
Song Sparrow,3
Wilson's Snipe,3
Black-necked Stilt,2
Bobolink,2
Common Gallinule,2
Common Merganser,2
Eurasian Collared-Dove,2
Gadwall,2
Glossy Ibis,2
Herring Gull,2
Marsh Wren,2
Pied-billed Grebe,2
Tree Swallow,2
Virginia Rail,2
White-rumped Sandpiper,2
American Wigeon,1
Bank Swallow,1
Black Scoter,1
Buff-breasted Sandpiper,1
Caspian Tern,1
Cattle Egret,1
European Starling,1
Fox Sparrow,1
House Sparrow,1
Little Blue Heron,1
Merlin,1
Mute Swan,1
Pine Siskin,1
Redhead,1
Ring-billed Gull,1
Roseate Tern,1
Ruddy Turnstone,1
Sanderling,1
Sharp-shinned Hawk,1
Short-billed Dowitcher,1
Snow Bunting,1
Snowy Owl,1
Tricolored Heron,1
Turkey Vulture,1
