filt_h.1$common_name,n
Great Horned Owl,13533
Eastern Screech-Owl,12851
Indigo Bunting,11121
Carolina Wren,8394
Northern Cardinal,7558
Tufted Titmouse,4056
Brown Thrasher,2336
Eastern Bluebird,2306
Blue Jay,2117
Blue Grosbeak,2006
American Crow,1875
Ruby-throated Hummingbird,1837
White-crowned Sparrow,1776
Red-bellied Woodpecker,1619
American Goldfinch,1407
White-throated Sparrow,1323
Wood Thrush,1321
Red-eyed Vireo,1252
Eastern Wood-Pewee,1161
Swainson's Warbler,1108
Chipping Sparrow,1106
Yellow-throated Warbler,1092
Northern Bobwhite,1022
Pileated Woodpecker,885
Osprey,839
Carolina Chickadee,769
Great Crested Flycatcher,730
Summer Tanager,723
Orchard Oriole,683
Fish Crow,640
Barred Owl,626
Canada Goose,552
Eastern Meadowlark,483
Yellow-billed Cuckoo,459
Red-shouldered Hawk,454
Prothonotary Warbler,448
Mourning Dove,446
Downy Woodpecker,413
Scarlet Tanager,370
Yellow-throated Vireo,356
Northern Mockingbird,329
Red-tailed Hawk,328
Golden-crowned Kinglet,303
Chimney Swift,301
Worm-eating Warbler,253
Philadelphia Vireo,233
American Redstart,228
Red-headed Woodpecker,228
American Robin,220
Northern Parula,220
Black Vulture,183
White-breasted Nuthatch,178
Kentucky Warbler,176
Acadian Flycatcher,158
Cedar Waxwing,151
Eastern Kingbird,150
Eastern Towhee,150
Palm Warbler,135
Black-capped Chickadee,132
Purple Martin,131
Hermit Thrush,130
Field Sparrow,127
Gray Catbird,126
American Pipit,122
Louisiana Waterthrush,121
Canada Warbler,119
Seaside Sparrow,117
Northern Flicker,112
Swamp Sparrow,107
Mississippi Kite,104
Barn Swallow,102
Bald Eagle,98
Hairy Woodpecker,98
Whimbrel,97
Common Grackle,95
Prairie Warbler,93
House Finch,91
White-eyed Vireo,91
American Tree Sparrow,90
Brown-headed Cowbird,90
Belted Kingfisher,89
Common Raven,82
Black-and-white Warbler,77
Savannah Sparrow,77
Black-bellied Plover,76
Barn Owl,75
Blue-winged Warbler,75
Purple Finch,74
Cape May Warbler,68
Red-breasted Nuthatch,68
Vesper Sparrow,67
Brown-headed Nuthatch,61
Dark-eyed Junco,61
Ruby-crowned Kinglet,61
Solitary Sandpiper,61
Black-throated Green Warbler,56
Winter Wren,55
Willet,53
Greater Yellowlegs,52
Yellow-bellied Flycatcher,52
Baltimore Oriole,44
Rusty Blackbird,44
Blue-headed Vireo,42
Cooper's Hawk,42
Dunlin,42
Grasshopper Sparrow,42
Nashville Warbler,42
Great Blue Heron,40
Wild Turkey,40
Green-winged Teal,39
Blackpoll Warbler,37
Lesser Yellowlegs,37
American Woodcock,36
Least Flycatcher,35
Yellow-bellied Sapsucker,34
Chuck-will's-widow,33
Veery,33
Clapper Rail,32
Northern Waterthrush,32
Yellow-breasted Chat,31
Rose-breasted Grosbeak,30
Broad-winged Hawk,28
Hooded Warbler,28
Blue-gray Gnatcatcher,25
Sharp-shinned Hawk,25
Alder Flycatcher,24
Horned Lark,24
Black-crowned Night-Heron,23
Caspian Tern,23
Eastern Phoebe,23
Magnolia Warbler,23
Orange-crowned Warbler,23
Warbling Vireo,23
White Ibis,23
Laughing Gull,22
Bobolink,21
Brant,21
Pine Warbler,21
Great Egret,20
Least Bittern,20
Sandhill Crane,20
Common Loon,19
Spotted Sandpiper,19
Wood Duck,19
Bay-breasted Warbler,18
Northern Rough-winged Swallow,18
Blackburnian Warbler,17
Gray-cheeked Thrush,17
Sora,17
Brown Creeper,16
Willow Flycatcher,15
Yellow-rumped Warbler,15
Ovenbird,13
Black-billed Cuckoo,12
Cerulean Warbler,11
Fox Sparrow,11
Lincoln's Sparrow,11
Royal Tern,11
Green Heron,10
Mallard,10
Common Nighthawk,9
Ring-billed Gull,9
Snow Bunting,9
Common Tern,8
Eastern Whip-poor-will,8
Marsh Wren,8
Pine Siskin,8
Tundra Swan,8
American Coot,7
Black Scoter,7
Buff-breasted Sandpiper,7
House Sparrow,7
House Wren,7
Killdeer,7
Ruddy Turnstone,7
Semipalmated Plover,7
Tennessee Warbler,7
American Golden-Plover,6
Black-throated Blue Warbler,6
Eurasian Collared-Dove,6
Hooded Merganser,6
Least Sandpiper,6
Rock Pigeon,6
American Kestrel,5
Short-eared Owl,5
Swainson's Thrush,5
Virginia Rail,5
Common Merganser,4
European Starling,4
Pied-billed Grebe,4
Sanderling,4
Song Sparrow,4
Wilson's Snipe,4
Bank Swallow,3
Boat-tailed Grackle,3
Chestnut-sided Warbler,3
Common Gallinule,3
Lapland Longspur,3
Mute Swan,3
Northern Harrier,3
Northern Pintail,3
Snow Goose,3
Tree Swallow,3
White-rumped Sandpiper,3
American Bittern,2
American Wigeon,2
Black Skimmer,2
Bufflehead,2
Double-crested Cormorant,2
Gadwall,2
Long-tailed Duck,2
Northern Shoveler,2
Red-winged Blackbird,2
Yellow Warbler,2
Bonaparte's Gull,1
Brown Pelican,1
Cattle Egret,1
Common Yellowthroat,1
Forster's Tern,1
Great Cormorant,1
Least Tern,1
Merlin,1
Peregrine Falcon,1
Piping Plover,1
Sandwich Tern,1
Short-billed Dowitcher,1
Wilson's Warbler,1
