filt_h.1$common_name,n
Indigo Bunting,12965
Great Horned Owl,11075
Carolina Wren,9685
Tufted Titmouse,4392
Blue Jay,2844
Eastern Screech-Owl,2819
Northern Cardinal,2770
Canada Goose,2267
American Crow,1999
White-crowned Sparrow,1800
Osprey,1635
Chipping Sparrow,1519
Fish Crow,1503
Eastern Bluebird,1370
Blue Grosbeak,1213
American Goldfinch,1110
Yellow-throated Warbler,1010
Mourning Dove,880
Orchard Oriole,827
Barn Owl,784
Northern Bobwhite,722
Barred Owl,698
Red-bellied Woodpecker,619
Eastern Wood-Pewee,567
Pileated Woodpecker,526
Palm Warbler,518
Great Crested Flycatcher,496
Barn Swallow,465
Chimney Swift,438
White-eyed Vireo,379
Killdeer,367
White-breasted Nuthatch,358
Red-shouldered Hawk,345
Seaside Sparrow,297
American Pipit,279
Purple Martin,262
Bald Eagle,251
Common Grackle,243
Yellow-billed Cuckoo,231
American Tree Sparrow,215
Summer Tanager,212
Red-tailed Hawk,201
Dunlin,172
Northern Flicker,172
Red-winged Blackbird,172
Red-breasted Nuthatch,163
Eastern Kingbird,152
House Finch,152
Great Blue Heron,144
Prothonotary Warbler,134
Ruby-crowned Kinglet,131
Worm-eating Warbler,129
Black-bellied Plover,120
Eastern Meadowlark,120
Belted Kingfisher,118
Scarlet Tanager,117
Whimbrel,116
Lesser Yellowlegs,113
Horned Lark,100
Swainson's Warbler,100
Downy Woodpecker,98
Red-eyed Vireo,96
Cedar Waxwing,95
Wood Thrush,95
Mallard,94
Purple Finch,93
Black-crowned Night-Heron,92
Hermit Thrush,85
Brown-headed Cowbird,84
White-throated Sparrow,84
Vesper Sparrow,82
Carolina Chickadee,81
Kentucky Warbler,79
Sandhill Crane,79
Savannah Sparrow,79
Golden-crowned Kinglet,76
Brown Thrasher,73
Prairie Warbler,73
Greater Yellowlegs,69
Field Sparrow,64
Pine Siskin,64
Yellow-throated Vireo,64
American Robin,63
Ruby-throated Hummingbird,61
Wild Turkey,61
Clapper Rail,60
Warbling Vireo,60
Ovenbird,58
Nashville Warbler,56
Brant,55
Magnolia Warbler,55
Mississippi Kite,54
Black Vulture,53
Swamp Sparrow,53
Dark-eyed Junco,50
Red-headed Woodpecker,48
American Woodcock,46
Green-winged Teal,46
Eastern Towhee,44
Northern Rough-winged Swallow,41
Brown-headed Nuthatch,40
Common Nighthawk,40
White Ibis,38
Common Raven,37
Eastern Phoebe,36
American Kestrel,35
Least Bittern,35
Wood Duck,33
Least Flycatcher,32
Tundra Swan,32
Common Yellowthroat,30
Cape May Warbler,29
Common Tern,29
Sora,29
Tree Swallow,28
Great Egret,27
Spotted Sandpiper,27
Chuck-will's-widow,25
Northern Mockingbird,25
American Coot,24
Bobolink,24
Ruddy Turnstone,24
Baltimore Oriole,23
Boat-tailed Grackle,22
Willow Flycatcher,22
Northern Waterthrush,21
Acadian Flycatcher,20
Broad-winged Hawk,20
Cooper's Hawk,20
Ring-billed Gull,19
Snow Goose,19
Yellow-bellied Flycatcher,18
Black-capped Chickadee,17
Louisiana Waterthrush,17
Northern Parula,17
Willet,17
European Starling,16
Gray Catbird,16
Pine Warbler,16
Veery,16
Yellow-bellied Sapsucker,16
Hairy Woodpecker,15
Peregrine Falcon,15
Grasshopper Sparrow,14
Laughing Gull,14
Least Sandpiper,14
Philadelphia Vireo,14
Rose-breasted Grosbeak,14
Snow Bunting,14
Solitary Sandpiper,14
Bank Swallow,13
Common Loon,13
Rusty Blackbird,13
Sharp-shinned Hawk,13
Winter Wren,13
Common Gallinule,12
Yellow-rumped Warbler,12
Redhead,11
American Redstart,10
Black-throated Green Warbler,10
Common Merganser,10
Semipalmated Plover,10
Blackpoll Warbler,9
Fox Sparrow,9
Blue-headed Vireo,8
Lapland Longspur,8
Royal Tern,8
Song Sparrow,8
Yellow-breasted Chat,8
Alder Flycatcher,7
Blackburnian Warbler,7
Orange-crowned Warbler,7
Wilson's Snipe,7
Yellow Warbler,7
American Golden-Plover,6
Black Scoter,6
Black-billed Cuckoo,6
Canvasback,6
Caspian Tern,6
Common Goldeneye,6
Gray-cheeked Thrush,6
Short-eared Owl,6
Swainson's Thrush,6
Virginia Rail,6
Black-and-white Warbler,5
Black-necked Stilt,5
Blue-winged Warbler,5
Chestnut-sided Warbler,5
Eastern Whip-poor-will,5
Hooded Merganser,5
Long-tailed Duck,5
Merlin,5
Pectoral Sandpiper,5
Sanderling,5
Semipalmated Sandpiper,5
Short-billed Dowitcher,5
Tennessee Warbler,5
Bufflehead,4
Canada Warbler,4
Cliff Swallow,4
Eurasian Collared-Dove,4
Great Cormorant,4
Anhinga,3
Bay-breasted Warbler,3
Blue-gray Gnatcatcher,3
Buff-breasted Sandpiper,3
Gadwall,3
Green Heron,3
Hooded Warbler,3
Lincoln's Sparrow,3
Marsh Wren,3
Northern Shoveler,3
Wilson's Warbler,3
American Bittern,2
Black Skimmer,2
Brown Creeper,2
Herring Gull,2
House Wren,2
Piping Plover,2
American Oystercatcher,1
Black-throated Blue Warbler,1
Bonaparte's Gull,1
Cattle Egret,1
Cerulean Warbler,1
Common Eider,1
Double-crested Cormorant,1
Horned Grebe,1
Least Tern,1
Mute Swan,1
Northern Gannet,1
Pied-billed Grebe,1
Red-throated Loon,1
Rock Pigeon,1
Snowy Owl,1
Stilt Sandpiper,1
Tricolored Heron,1
Western Sandpiper,1
