filt_h.1$common_name,n
American Robin,13349
Northern Cardinal,13276
House Sparrow,9539
House Wren,8150
Eastern Screech-Owl,5401
Carolina Wren,3969
American Crow,2314
Blue Jay,2009
White-breasted Nuthatch,1900
European Starling,1799
Chimney Swift,1775
Common Grackle,1607
Tufted Titmouse,1199
Downy Woodpecker,1012
Black-capped Chickadee,1008
American Goldfinch,890
Ruby-throated Hummingbird,845
House Finch,844
Eastern Bluebird,798
Northern Flicker,783
Red-bellied Woodpecker,706
Gray Catbird,693
Common Nighthawk,602
Mourning Dove,593
Killdeer,587
Rose-breasted Grosbeak,553
Red-shouldered Hawk,526
Blackpoll Warbler,518
Carolina Chickadee,508
Belted Kingfisher,481
Barn Owl,445
Summer Tanager,436
Cedar Waxwing,355
Baltimore Oriole,350
Fish Crow,329
Purple Finch,300
Osprey,264
White-throated Sparrow,251
Eastern Phoebe,250
Canada Goose,224
Eastern Kingbird,220
Chipping Sparrow,192
White-crowned Sparrow,188
Dark-eyed Junco,171
Worm-eating Warbler,167
Golden-crowned Kinglet,144
Purple Martin,138
Red-tailed Hawk,138
Great Horned Owl,134
Northern Mockingbird,132
Barred Owl,124
Ovenbird,123
Pine Warbler,113
Brown Thrasher,112
Mallard,104
Ruddy Turnstone,102
Indigo Bunting,98
Common Yellowthroat,96
Lincoln's Sparrow,96
Pileated Woodpecker,95
Marsh Wren,94
Dunlin,93
Cape May Warbler,88
Red-headed Woodpecker,87
Northern Rough-winged Swallow,84
American Pipit,81
Pine Siskin,76
Tree Swallow,76
Song Sparrow,75
American Woodcock,72
Whimbrel,72
Eastern Towhee,60
Red-breasted Nuthatch,60
Red-eyed Vireo,60
Least Flycatcher,56
Wood Thrush,56
Brown-headed Cowbird,53
Great Crested Flycatcher,53
Lapland Longspur,53
Broad-winged Hawk,52
Green-winged Teal,51
Hairy Woodpecker,51
Snow Bunting,49
Orange-crowned Warbler,48
Black-bellied Plover,47
Mourning Warbler,46
Orchard Oriole,46
American Kestrel,44
Northern Bobwhite,42
Cooper's Hawk,40
Kentucky Warbler,38
Henslow's Sparrow,37
Palm Warbler,35
Northern Parula,34
Rusty Blackbird,34
Boat-tailed Grackle,32
Red-winged Blackbird,31
Ruby-crowned Kinglet,31
Bald Eagle,30
Blue Grosbeak,30
Blue-gray Gnatcatcher,29
Spotted Sandpiper,29
Yellow-throated Vireo,29
Eastern Wood-Pewee,28
Great Blue Heron,28
Least Sandpiper,28
Swamp Sparrow,27
Winter Wren,27
Yellow-billed Cuckoo,27
Alder Flycatcher,26
Warbling Vireo,26
Yellow-throated Warbler,26
Barn Swallow,25
Brown Creeper,25
Canada Warbler,25
Yellow Warbler,25
Wild Turkey,24
Black-crowned Night-Heron,23
Blue-winged Warbler,23
Eurasian Collared-Dove,23
Black-and-white Warbler,21
Gray-cheeked Thrush,21
Tennessee Warbler,21
Scarlet Tanager,20
Common Raven,18
Virginia Rail,18
Common Loon,17
Merlin,17
Wilson's Warbler,17
Yellow-breasted Chat,17
Brown-headed Nuthatch,16
Common Tern,16
Nashville Warbler,16
Prothonotary Warbler,16
American Redstart,15
Bay-breasted Warbler,15
Chuck-will's-widow,15
Philadelphia Vireo,15
Chestnut-sided Warbler,14
Savannah Sparrow,14
Grasshopper Sparrow,13
Magnolia Warbler,13
Swainson's Warbler,13
Yellow-bellied Sapsucker,13
Greater Yellowlegs,12
Sandwich Tern,12
Common Goldeneye,11
Lesser Yellowlegs,11
Northern Waterthrush,11
American Tree Sparrow,10
Swainson's Thrush,10
Black-throated Green Warbler,9
Clapper Rail,9
Eastern Whip-poor-will,9
Peregrine Falcon,9
Yellow-bellied Flycatcher,9
Caspian Tern,8
Eastern Meadowlark,8
Fox Sparrow,8
Ring-billed Gull,8
Semipalmated Plover,8
Solitary Sandpiper,8
Black-billed Cuckoo,7
Blackburnian Warbler,7
Cerulean Warbler,7
Field Sparrow,7
Hermit Thrush,7
Herring Gull,7
Tundra Swan,7
Acadian Flycatcher,6
Dickcissel,6
Great Black-backed Gull,6
Louisiana Waterthrush,6
Northern Harrier,6
Rock Pigeon,6
Seaside Sparrow,6
Snow Goose,6
Veery,6
White-eyed Vireo,6
Wood Duck,6
American Golden-Plover,5
Royal Tern,5
Short-billed Dowitcher,5
Least Tern,4
Pied-billed Grebe,4
Sanderling,4
Vesper Sparrow,4
Bank Swallow,3
Buff-breasted Sandpiper,3
Common Gallinule,3
Gadwall,3
Hooded Warbler,3
Horned Lark,3
Least Bittern,3
Yellow-rumped Warbler,3
Black Vulture,2
Blue-headed Vireo,2
Brant,2
Green Heron,2
Prairie Warbler,2
Willet,2
American Bittern,1
Anhinga,1
Black Scoter,1
Black Skimmer,1
Black-throated Blue Warbler,1
Blue-winged Teal,1
Cliff Swallow,1
Common Merganser,1
Great Egret,1
Hooded Merganser,1
Pectoral Sandpiper,1
Sharp-shinned Hawk,1
Sora,1
Tricolored Heron,1
Turkey Vulture,1
Wilson's Snipe,1
