filt_h.1$common_name,n
Eastern Screech-Owl,32070
Wood Thrush,20795
Great Horned Owl,12814
Red-eyed Vireo,12677
Eastern Wood-Pewee,12368
Acadian Flycatcher,11759
Kentucky Warbler,11359
Swainson's Warbler,10356
Northern Cardinal,5537
Worm-eating Warbler,5424
Ovenbird,5146
Carolina Wren,2910
Blue Jay,2807
Red-bellied Woodpecker,2668
Tufted Titmouse,2526
Scarlet Tanager,2497
Barred Owl,2258
American Robin,2081
Hooded Warbler,1462
Broad-winged Hawk,1459
Yellow-billed Cuckoo,1374
Mississippi Kite,1306
American Crow,1283
Prothonotary Warbler,1106
Downy Woodpecker,1018
Black-throated Blue Warbler,859
Carolina Chickadee,852
House Finch,730
American Goldfinch,727
Yellow-throated Vireo,700
White-breasted Nuthatch,685
Pileated Woodpecker,597
Yellow-throated Warbler,567
Ruby-throated Hummingbird,552
White-throated Sparrow,539
Hermit Thrush,522
Eastern Towhee,506
Hairy Woodpecker,498
Black-throated Green Warbler,413
White-crowned Sparrow,403
Great Crested Flycatcher,400
Black-capped Chickadee,379
Least Flycatcher,365
Louisiana Waterthrush,329
Blue-headed Vireo,322
Common Grackle,302
Yellow-bellied Flycatcher,288
Red-shouldered Hawk,270
Cedar Waxwing,266
Cerulean Warbler,221
Summer Tanager,219
Blackburnian Warbler,216
Canada Goose,211
Golden-crowned Kinglet,198
Mourning Dove,163
Northern Flicker,158
Red-headed Woodpecker,156
American Pipit,155
Red-tailed Hawk,153
Blue-gray Gnatcatcher,151
Dark-eyed Junco,132
American Redstart,124
Brown-headed Cowbird,122
Cooper's Hawk,121
Barn Owl,120
Philadelphia Vireo,120
Pine Warbler,118
Eastern Phoebe,99
Northern Parula,95
Black-and-white Warbler,91
Veery,88
Brown Creeper,87
Osprey,85
Blackpoll Warbler,84
Red-breasted Nuthatch,81
Northern Bobwhite,80
Northern Waterthrush,77
American Woodcock,74
Yellow-bellied Sapsucker,73
Brown-headed Nuthatch,68
House Sparrow,55
Bay-breasted Warbler,54
Common Nighthawk,53
Eastern Bluebird,51
Fish Crow,50
Sharp-shinned Hawk,50
Indigo Bunting,49
Yellow-rumped Warbler,43
Purple Finch,42
Swamp Sparrow,37
Wild Turkey,36
Ruby-crowned Kinglet,34
Belted Kingfisher,33
Gray Catbird,32
Rose-breasted Grosbeak,32
Winter Wren,31
Palm Warbler,29
Cape May Warbler,28
Red-winged Blackbird,28
Canada Warbler,22
Mallard,22
Spotted Sandpiper,22
Chimney Swift,21
Chipping Sparrow,21
White-eyed Vireo,21
Willow Flycatcher,20
Northern Rough-winged Swallow,18
Bald Eagle,16
Killdeer,16
Swainson's Thrush,16
Baltimore Oriole,15
Common Yellowthroat,15
Orange-crowned Warbler,15
Black Vulture,14
Common Raven,13
Eastern Kingbird,13
Great Blue Heron,13
Brown Thrasher,12
Rusty Blackbird,12
Black-billed Cuckoo,11
Black-bellied Plover,10
Blue-winged Warbler,10
Tennessee Warbler,10
Black-crowned Night-Heron,9
Dunlin,9
Alder Flycatcher,8
Chuck-will's-widow,7
Prairie Warbler,7
Seaside Sparrow,7
Chestnut-sided Warbler,6
Fox Sparrow,6
Magnolia Warbler,6
Pine Siskin,6
Sandhill Crane,6
Whimbrel,6
Wood Duck,6
Blue Grosbeak,5
Grasshopper Sparrow,5
Green Heron,5
Lincoln's Sparrow,5
Nashville Warbler,5
Purple Martin,5
Song Sparrow,5
Common Loon,4
Gray-cheeked Thrush,4
Solitary Sandpiper,4
American Bittern,3
Eurasian Collared-Dove,3
Great Egret,3
Green-winged Teal,3
Least Bittern,3
Rock Pigeon,3
Tundra Swan,3
Boat-tailed Grackle,2
Caspian Tern,2
Field Sparrow,2
Greater Yellowlegs,2
House Wren,2
Sandwich Tern,2
Savannah Sparrow,2
Snow Bunting,2
White Ibis,2
Wilson's Warbler,2
American Kestrel,1
American Tree Sparrow,1
Bank Swallow,1
Clapper Rail,1
Common Tern,1
Eastern Meadowlark,1
Eastern Whip-poor-will,1
Gadwall,1
Laughing Gull,1
Merlin,1
Orchard Oriole,1
Peregrine Falcon,1
Ring-billed Gull,1
Sora,1
Tree Swallow,1
Vesper Sparrow,1
Warbling Vireo,1
