"sites","date","temp_95","wb_temp_95","heat_index_95","rel_hum_95","temp_max","wb_temp_max","heat_index_max","rel_hum_max","temp_mn","wb_temp_mn","heat_index_mn","rel_hum_mn","temp_05","wb_temp_05","heat_index_05","rel_hum_05","habitat","location"
"Classroom_SMC7",2024-04-13,18.6916666666667,9.51666666666667,15.8277777777778,50.49,19.3333333333333,9.77777777777778,16.7777777777778,53.2,16.1666666666667,8.33618233618234,13.7628205128205,33.0679487179487,12.5138888888889,7.11111111111111,11.0944444444444,26.37,"forest","urban"
"Open_SMO9",2024-04-13,18.7722222222222,9.68333333333333,16.0416666666667,49.09,19.1666666666667,10.3888888888889,16.7222222222222,51.5,16.2200854700855,8.38960113960114,13.8262108262108,33.1717948717949,12.5777777777778,7.09444444444444,11.2361111111111,26.97,"open","urban"
"Overlook_SMO6",2024-04-13,19.7861111111111,10.2944444444444,17.5,51.33,20.3888888888889,10.6111111111111,18.2777777777778,55.5,16.8411680911681,8.8511396011396,14.5512820512821,33.4717948717949,12.6638888888889,7.27777777777778,11.4416666666667,26.185,"open","urban"
"Pool_SMP11",2024-04-13,19.2222222222222,9.88888888888889,16.7222222222222,52.375,19.6111111111111,10.1666666666667,17.3888888888889,55.9,16.0299145299145,8.48148148148148,13.7713675213675,35.1358974358974,12.3861111111111,7.25277777777778,11.1722222222222,27,"forest","urban"
"Classroom_SMC7",2024-04-14,26.6666666666667,14.8888888888889,24.6111111111111,53.54,26.9444444444444,15,24.7777777777778,61.6,21.5814814814815,11.8067901234568,19.6697530864198,31.3133333333333,9.26111111111111,5.32777777777778,8.37777777777778,23.835,"forest","urban"
"Open_SMO9",2024-04-14,26.5305555555556,14.8888888888889,24.45,68.2,26.7222222222222,15,24.6111111111111,69.7,21.1475308641975,11.6283950617284,19.2493827160494,32.8044444444444,7.41388888888889,5,6.93888888888889,24.2,"open","urban"
"Overlook_SMO6",2024-04-14,26.7583333333333,14.7777777777778,24.6722222222222,57.585,27.1666666666667,15,25,60.9,21.391975308642,11.6185185185185,19.4654320987654,31.2622222222222,8.44444444444445,4.82777777777778,7.72222222222222,23.6,"open","urban"
"Pool_SMP11",2024-04-14,27.1666666666667,15.3388888888889,25.2222222222222,70.465,27.4444444444444,15.6666666666667,25.3888888888889,72,20.6012345679012,11.9382716049383,19.016049382716,37.9166666666667,7.46388888888889,5.16666666666667,7.11111111111111,25.99,"forest","urban"
"Classroom_SMC7",2024-04-15,30.475,18.1111111111111,29.0611111111111,78.61,31.5555555555556,18.6111111111111,30.3888888888889,79.8,25.2814814814815,16.3864197530864,24.1641975308642,43.5055555555556,15.4083333333333,13.1361111111111,15.05,26.79,"forest","urban"
"Open_SMO9",2024-04-15,29.8694444444444,17.8888888888889,28.3888888888889,83.955,31.1666666666667,18.8888888888889,30.2222222222222,85.5,24.8993827160494,16.2950617283951,23.8240740740741,44.9077777777778,14.8027777777778,13.1666666666667,14.7472222222222,27.58,"open","urban"
"Overlook_SMO6",2024-04-15,30.7277777777778,18.0111111111111,29.2222222222222,77.91,31.5555555555556,18.5,30.2222222222222,79.6,25.4574074074074,16.3481481481481,24.2950617283951,42.5122222222222,15.4888888888889,13.2166666666667,15.2472222222222,25.98,"open","urban"
"Pool_SMP11",2024-04-15,29.8944444444444,18.2222222222222,28.7777777777778,88.32,30.5555555555556,18.6111111111111,29.3888888888889,88.7,24.3308641975309,16.3407407407407,23.4074074074074,48.2188888888889,14.4694444444444,13.2777777777778,14.5,29.945,"forest","urban"
"Classroom_SMC7",2024-04-16,25.45,13.3888888888889,23.2027777777778,51.725,26.2222222222222,13.7777777777778,23.8888888888889,52.8,19.9861111111111,10.9166666666667,18.0555555555556,32.3273809523809,12.1666666666667,7.27777777777778,10.8888888888889,23.26,"forest","urban"
"Open_SMO9",2024-04-16,25.1972222222222,13.45,22.8888888888889,56.1,25.8888888888889,14.6666666666667,23.8888888888889,58.3,20.0648148148148,11.0827160493827,18.2135802469136,33.3222222222222,11.3527777777778,7.16666666666667,10.3888888888889,23.89,"open","urban"
"Overlook_SMO6",2024-04-16,25.0305555555556,13,22.7027777777778,50.455,26.1666666666667,13.6666666666667,23.7777777777778,51.6,20.6376543209877,11.0086419753086,18.6592592592593,29.9255555555556,12.4444444444444,7.55,11.1111111111111,21.7,"open","urban"
"Pool_SMP11",2024-04-16,24.6222222222222,13.45,22.6722222222222,56.465,25.6666666666667,14.1111111111111,23.5,58.2,19.2604938271605,10.8543209876543,17.470987654321,35.7411111111111,11.1916666666667,7.05,10.1666666666667,26.2,"forest","urban"
"Classroom_SMC7",2024-04-17,19.8638888888889,16.3888888888889,19.5611111111111,90.705,20.1111111111111,16.7222222222222,20,93.3,16.966049382716,13.6166666666667,16.3382716049383,69.6466666666667,12.7416666666667,8.66666666666667,11.7472222222222,48.59,"forest","urban"
"Open_SMO9",2024-04-17,20.1416666666667,16.45,19.8388888888889,88.495,20.3333333333333,16.7777777777778,20.1111111111111,93.2,17.1475308641975,13.6364197530864,16.4802469135802,68.3622222222222,12.4888888888889,8.55,11.4777777777778,48.825,"open","urban"
"Overlook_SMO6",2024-04-17,20.0861111111111,16.2777777777778,19.7527777777778,85.755,20.3888888888889,16.6111111111111,20.2777777777778,91.2,17.212962962963,13.5388888888889,16.4728395061728,67.0844444444444,12.9888888888889,8.88888888888889,11.9388888888889,45.79,"open","urban"
"Pool_SMP11",2024-04-17,19.4444444444444,16.7222222222222,19.2777777777778,92.585,19.7777777777778,16.8888888888889,19.5,95.3,16.5308641975309,13.8376543209877,16.1123456790123,74.9711111111111,11.6611111111111,8.56388888888889,11.05,54.73,"forest","urban"
"Classroom_SMC7",2024-04-18,19.6972222222222,15.95,19.2777777777778,98.2,20.6666666666667,16.3888888888889,20.3888888888889,98.5,16.6759259259259,14.6395061728395,16.558024691358,81.8177777777778,14.5,12.6666666666667,14.6111111111111,65.845,"forest","urban"
